,招商双债增强债券(LOF)C,广发纳斯达克100ETF联接人民币(QDII)A,大成纳斯达克100ETF联接(QDII),招商量化精选股票A,招商优势企业混合A,招商鑫诚短债A,招商招华纯债A,招商中证500等权重指数增强A,招商北证50成份指数发起式A,深证成指,广发量化多因子混合,沪深300,招商成长量化选股股票C,招商纳斯达克100ETF发起式联接（QDII）C,招商国证生物医药指数A,招商安瑞进取债券A,招商安本增利债券A,招商民安增益债券A,招商享利增强债券A,招商信用增强债券A,招商中证有色金属矿业主题ETF,广发上海金ETF联接A,广发中证稀有金属ETF发起式联接A,招商中证红利低波动100指数发起式A,招商恒生港股通高股息低波动ETF,招商中证银行指数A,招商中证畜牧养殖ETF联接A,招商中证机器人指数型发起式A,招商中证半导体产业ETF发起式联接A,招商科技创新混合A,招商恒生港股通高股息低波动ETF发起式联接A
招商安瑞进取债券A,-0.2599,0.1822,0.1879,0.8753,0.7611,-0.0774,-0.0711,0.8934,0.6708,0.9000,0.8584,0.8081,0.7422,0.1822,0.7846,1.0000,0.9184,0.9243,0.8795,0.7793,0.6930,0.0687,0.7735,0.5595,0.2944,0.2288,0.6463,0.7829,0.6472,0.7396,0.0376
招商安本增利债券A,-0.1936,0.1757,0.1811,0.8580,0.7557,-0.0207,-0.0426,0.8850,0.6800,0.8903,0.8297,0.7993,0.7933,0.1809,0.7601,0.9184,1.0000,0.9543,0.8575,0.8117,0.6837,0.1069,0.7762,0.5573,0.3208,0.2411,0.6132,0.8226,0.6802,0.7217,0.0308
招商民安增益债券A,-0.2131,0.1751,0.1809,0.8799,0.7704,-0.0202,-0.0544,0.9016,0.6797,0.8971,0.8509,0.7920,0.7775,0.1784,0.7644,0.9243,0.9543,1.0000,0.8586,0.8552,0.7130,0.1040,0.7962,0.5306,0.3350,0.2134,0.6146,0.8208,0.6679,0.7360,0.0559
招商享利增强债券A,-0.1699,0.1493,0.1534,0.8205,0.7123,-0.0509,-0.0294,0.8716,0.6148,0.8776,0.7866,0.8257,0.6761,0.1479,0.7413,0.8795,0.8575,0.8586,1.0000,0.7536,0.6559,0.0191,0.7107,0.5831,0.2376,0.3260,0.6516,0.7131,0.6247,0.6914,0.0251
招商信用增强债券A,-0.0691,0.2070,0.2130,0.7836,0.6802,0.0679,-0.0207,0.7771,0.5649,0.7654,0.7572,0.6811,0.6453,0.2124,0.6292,0.7793,0.8117,0.8552,0.7536,1.0000,0.6220,0.1211,0.6637,0.4420,0.2914,0.2064,0.5296,0.6928,0.5683,0.6446,0.0310
招商中证有色金属矿业主题ETF,-0.2238,0.0938,0.0996,0.7165,0.5660,-0.0286,-0.0654,0.7464,0.4610,0.7208,0.6358,0.7034,0.5927,0.1009,0.5717,0.6930,0.6837,0.7130,0.6559,0.6220,1.0000,0.3430,0.8115,0.5262,0.2742,0.2906,0.5642,0.5527,0.4239,0.5423,0.1212
广发上海金ETF联接A,-0.0043,-0.0150,-0.0108,0.0625,0.0774,0.0201,-0.0203,0.0508,0.0420,0.0359,0.0433,0.0509,0.0655,-0.0091,-0.0185,0.0687,0.1069,0.1040,0.0191,0.1211,0.3430,1.0000,0.0916,0.1024,0.1152,0.0846,0.0415,0.0590,0.0258,0.0938,0.0288
广发中证稀有金属ETF发起式联接A,-0.2663,0.1302,0.1348,0.7811,0.6307,-0.0667,-0.0757,0.8227,0.5697,0.7989,0.7382,0.7066,0.6763,0.1411,0.7068,0.7735,0.7762,0.7962,0.7107,0.6637,0.8115,0.0916,1.0000,0.5284,0.2723,0.1696,0.6240,0.7109,0.5853,0.5848,0.1033
招商中证红利低波动100指数发起式A,-0.1701,0.1047,0.1100,0.5638,0.3913,-0.0223,-0.1027,0.6216,0.4619,0.6149,0.5221,0.7258,0.6892,0.1116,0.5239,0.5595,0.5573,0.5306,0.5831,0.4420,0.5262,0.1024,0.5284,1.0000,0.3323,0.6556,0.6229,0.4633,0.3610,0.3859,0.0855
招商恒生港股通高股息低波动ETF,-0.1913,0.1775,0.1935,0.3072,0.3351,-0.1175,-0.0480,0.3112,0.2551,0.3013,0.2733,0.3174,0.4127,0.1966,0.2186,0.2944,0.3208,0.3350,0.2376,0.2914,0.2742,0.1152,0.2723,0.3323,1.0000,0.2363,0.1192,0.3033,0.1956,0.3128,0.2713
招商中证银行指数A,-0.0572,0.0458,0.0507,0.2666,0.1453,-0.0014,-0.0913,0.3177,0.2151,0.3366,0.2262,0.5586,0.2903,0.0420,0.2017,0.2288,0.2411,0.2134,0.3260,0.2064,0.2906,0.0846,0.1696,0.6556,0.2363,1.0000,0.3113,0.1458,0.1201,0.1796,0.0343
招商中证畜牧养殖ETF联接A,-0.1793,0.0661,0.0679,0.6324,0.4521,-0.0270,-0.0453,0.6900,0.4598,0.6574,0.6155,0.6610,0.5211,0.0593,0.6118,0.6463,0.6132,0.6146,0.6516,0.5296,0.5642,0.0415,0.6240,0.6229,0.1192,0.3113,1.0000,0.4466,0.4023,0.4190,0.0456
招商中证机器人指数型发起式A,-0.2287,0.1732,0.1801,0.7941,0.7425,-0.0753,-0.0724,0.7915,0.6832,0.8097,0.7694,0.6942,0.7975,0.1891,0.6602,0.7829,0.8226,0.8208,0.7131,0.6928,0.5527,0.0590,0.7109,0.4633,0.3033,0.1458,0.4466,1.0000,0.7473,0.7055,0.0095
招商中证半导体产业ETF发起式联接A,-0.2675,0.1799,0.1812,0.5856,0.6591,-0.0915,-0.0462,0.6749,0.5600,0.7174,0.5637,0.6495,0.5826,0.1931,0.5982,0.6472,0.6802,0.6679,0.6247,0.5683,0.4239,0.0258,0.5853,0.3610,0.1956,0.1201,0.4023,0.7473,1.0000,0.6852,0.0596
招商科技创新混合A,-0.2793,0.1875,0.1930,0.6959,0.7820,-0.1010,-0.0687,0.7388,0.5661,0.7855,0.6677,0.7033,0.5906,0.1853,0.6182,0.7396,0.7217,0.7360,0.6914,0.6446,0.5423,0.0938,0.5848,0.3859,0.3128,0.1796,0.4190,0.7055,0.6852,1.0000,0.0331
招商恒生港股通高股息低波动ETF发起式联接A,-0.0510,0.0548,0.0565,0.0297,-0.0084,-0.0052,-0.0086,0.0393,-0.0083,0.0344,0.0121,0.0665,0.0464,0.0577,0.0306,0.0376,0.0308,0.0559,0.0251,0.0310,0.1212,0.0288,0.1033,0.0855,0.2713,0.0343,0.0456,0.0095,0.0596,0.0331,1.0000
